"lats","longs","bathy_m"
32,-121,NA
32.02,-121,NA
32.04,-121,NA
32.06,-121,NA
32.08,-121,NA
32.1,-121,NA
32.12,-121,-3899
32.14,-121,-3898
32.16,-121,-3889.86098556697
32.18,-121,-3869.71912847304
32.2,-121,-3839.76892922295
32.22,-121,-3811.58673731928
32.24,-121,-3797.58204435925
32.26,-121,-3788.12562289556
32.28,-121,-3778.83909572016
32.3,-121,-3786.54134933507
32.32,-121,-3807.11117778687
32.34,-121,-3813.30814279057
32.36,-121,-3815.46277219739
32.38,-121,-3812.07413450394
32.4,-121,-3801.23277773625
32.42,-121,-3772.89951308748
32.44,-121,-3731.41712059917
32.46,-121,-3684.60428264538
32.48,-121,-3537.07640532992
32.5,-121,-3432.34155911309
32.52,-121,-3454.19779038676
32.54,-121,-3529.50569220886
32.56,-121,-3615.03825585129
32.58,-121,-3683.60806476929
32.6,-121,-3722.273504735
32.62,-121,-3749.66106948528
32.64,-121,-3767.81497802188
32.66,-121,-3781.26636726926
32.68,-121,-3799.86698491192
32.7,-121,-3807.6240150615
32.72,-121,-3817.58664864778
32.74,-121,-3831.92985212424
32.76,-121,-3846.90213115154
32.78,-121,-3849.56595019386
32.8,-121,-3841.29985317663
32.82,-121,-3829.16120035364
32.84,-121,-3813.17541965946
32.86,-121,-3802.10310140235
32.88,-121,-3700.92377342479
32.9,-121,-3441.43429648842
32.92,-121,-2934.76435156637
32.94,-121,-2348.28551632774
32.96,-121,-1963.92672497677
32.98,-121,-1544.57455559213
33,-121,-976.348962035388
33.02,-121,-939.424821462378
33.04,-121,-1203.43721431497
33.06,-121,-1181.1392359191
33.08,-121,-1155.72923118248
33.1,-121,-1468.21246812743
33.12,-121,-1917.68853152572
33.14,-121,-2245.99481613204
33.16,-121,-2516.34506648102
33.18,-121,-2632.05814932961
33.2,-121,-2561.93248015659
33.22,-121,-2679.12701057169
33.24,-121,-2364.66519422555
33.26,-121,-2174.51081593487
33.28,-121,-2258.28072013269
33.3,-121,-2480.23399241935
33.32,-121,-2568.91315400353
33.34,-121,-2508.99451186382
33.36,-121,-2759.35104155593
33.38,-121,-2883.5262117047
33.4,-121,-3166.58834095789
33.42,-121,-3572.69155488563
33.44,-121,-3608.91229699875
33.46,-121,-3607.16659459118
33.48,-121,-3566.80945085155
33.5,-121,-3499.67942782908
33.52,-121,-3502.12004615235
33.54,-121,-3518.2442653425
33.56,-121,-3426.33468888525
33.58,-121,-3351.83440502703
33.6,-121,-3345.13670214148
33.62,-121,-3359.77006593231
33.64,-121,-3356.79404363721
33.66,-121,-3282.95687651718
33.68,-121,-3189.72066533366
33.7,-121,-3093.01640865916
33.72,-121,-3000.74797191391
33.74,-121,-2948.48432668266
33.76,-121,-2922.20756171865
33.78,-121,-2893.12122004237
33.8,-121,-2810.23511448023
33.82,-121,-2743.10503108997
33.84,-121,-2699.50585118628
33.86,-121,-2617.34510427497
33.88,-121,-2569.58437343073
33.9,-121,-2466.43055177368
33.92,-121,-2371.72457902244
33.94,-121,-2233.5015152483
33.96,-121,-2086.72061229836
33.98,-121,-2000.81020884931
34,-121,-1948.73835543655
34.02,-121,-1927.69774453428
34.04,-121,-1854.61506399888
34.06,-121,-1751.66690567077
34.08,-121,-1615.57679977231
34.1,-121,-1553.17292759164
34.12,-121,-1409.71477078234
34.14,-121,-1131.97370674684
34.16,-121,-1081.50046690503
34.18,-121,-1059.07164109532
34.2,-121,-1040.5332953394
34.22,-121,-1034.78884289755
34.24,-121,-1041.80427600789
34.26,-121,-1057.4842781294
34.28,-121,-1075.57194552127
34.3,-121,-1105.80318523542
34.32,-121,-1143.03778988487
34.34,-121,-1183.49552342452
34.36,-121,-1222.22899633513
34.38,-121,-1223.76230539386
34.4,-121,-1161.37929888874
34.42,-121,-1108.51362482321
34.44,-121,-1121.38695934068
34.46,-121,-1085.87903184708
34.48,-121,-1077.66561500341
34.5,-121,-1042.66655293236
34.52,-121,-967.922973017991
34.54,-121,-884.035868034519
34.56,-121,-765.493736720147
34.58,-121,-681.694546250916
34.6,-121,-634.008639416051
34.62,-121,-596.966296966165
34.64,-121,-568.105443220357
34.66,-121,-535.319864951321
34.68,-121,-496.726314593998
34.7,-121,-468.298152599837
34.72,-121,-447.769233317532
34.74,-121,-430.884687553404
34.76,-121,-419.532051649509
34.78,-121,-408.694589395303
34.8,-121,-397.778014427694
34.82,-121,-390.172947974302
34.84,-121,-388.087462667988
34.86,-121,-405.548408307327
34.88,-121,-422.650284970689
34.9,-121,-423.370671795668
34.92,-121,-420.927900964832
34.94,-121,-420.146891044663
34.96,-121,-419.799119244846
34.98,-121,-418.451341597054
35,-121,-415.012268721827
32,-120.98,NA
32.02,-120.98,NA
32.04,-120.98,NA
32.06,-120.98,NA
32.08,-120.98,NA
32.1,-120.98,NA
32.12,-120.98,-3899
32.14,-120.98,-3896.28127427733
32.16,-120.98,-3883.70285115069
32.18,-120.98,-3860.72240431792
32.2,-120.98,-3828.10449516386
