comm_name,type
Brandt's cormorant,bird
Common loon,bird
Double-crested cormorant,bird
Pacific loon,bird
Pelagic cormorant,bird
Unidentified cormorant,bird
Unidentified grebe,bird
Unidentified loon,bird
Western grebe,bird
Common murre,bird
Pigeon guillemot,bird
Unidentified alcid,bird
Unidentified bird,bird
Unidentified gull,bird
Black oystercatcher,bird
Bank rockfish,finfish
Black and yellow rockfish,finfish
Blue rockfish,finfish
Bocaccio rockfish,finfish
Bronzespotted rockfish,finfish
Brown rockfish,finfish
Canary rockfish,finfish
Chilipepper rockfish,finfish
Copper rockfish,finfish
Cowcod rockfish,finfish
Flag rockfish,finfish
Gopher rockfish,finfish
Grass rockfish,finfish
Kelp rockfish,finfish
Olive rockfish,finfish
Other identified rockfish,finfish
Pink rockfish,finfish
Rosy rockfish,finfish
Speckled rockfish,finfish
Treefish rockfish,finfish
Unidentified rockfish,finfish
Vermillion rockfish,finfish
Yellowtail rockfish,finfish
Bigmouth sole,finfish
Butter sole,finfish
C-o turbot,finfish
Curlfin turbot,finfish
Diamond turbot,finfish
Dover sole,finfish
English sole,finfish
Fantail sole,finfish
Hornyhead turbot,finfish
Petrale sole,finfish
Rex sole,finfish
Rock sole,finfish
Sand sole,finfish
Slender sole,finfish
Spotted turbot,finfish
American shad,finfish
Barred sand bass,finfish
Barred surfperch,finfish
Bay pipefish,finfish
Black croaker,finfish
Black surfperch,finfish
Blacksmith,finfish
Bluefin tuna,finfish
Bullet mackerel,finfish
Cabezon,finfish
California barracuda,finfish
California corbina,finfish
California flyingfish,finfish
California halibut,finfish
California lizardfish,finfish
California needlefish,finfish
California scorpionfish,finfish
California sheephead,finfish
California tonguefish,finfish
Common mola,finfish
Finescale triggerfish,finfish
Garibaldi,finfish
Giant kelpfish,finfish
Giant sea bass,finfish
Green sturgeon,finfish
Halfmoon,finfish
Jack mackerel,finfish
Jacksmelt,finfish
Kelp bass,finfish
King salmon,finfish
Lingcod,finfish
Longfin sanddab,finfish
Lumptail searobin,finfish
Northern anchovy,finfish
Ocean whitefish,finfish
Onespot fringehead,finfish
Opaleye,finfish
Other identified fish,finfish
Other identified flatfish,finfish
Other identified salmon,finfish
Pacific bonito,finfish
Pacific butterfish,finfish
Pacific cod,finfish
Pacific hagfish,finfish
Pacific hake,finfish
Pacific halibut,finfish
Pacific herring,finfish
Pacific mackerel,finfish
Pacific sanddab,finfish
Pacific sardine,finfish
Painted greenling,finfish
Pile surfperch,finfish
Pink surfperch,finfish
Plainfin midshipman,finfish
Queenfish,finfish
Rainbow surfperch,finfish
Reef surfperch,finfish
Rock wrasse,finfish
Round herring,finfish
Rubberlip surfperch,finfish
Sablefish,finfish
Sarcastic fringehead,finfish
Sargo,finfish
Senorita,finfish
Shiner surfperch,finfish
Silver surfperch,finfish
Smooth stargazer,finfish
Speckled sanddab,finfish
Specklefin midshipman,finfish
Spotfin croaker,finfish
Spotted sand bass,finfish
Starry flounder,finfish
Striped bass,finfish
Striped mullet,finfish
Striped surfperch,finfish
Surf smelt,finfish
Surfperch Other Identified,finfish
Topsmelt,finfish
Unidentified fish,finfish
Unidentified flatfish,finfish
Unidentified mackerel,finfish
Unidentified sanddab,finfish
Unidentified sculpin,finfish
Unidentified sturgeon,finfish
Unidentified surfperch,finfish
Unidentified triggerfish,finfish
Walleye surfperch,finfish
White croaker,finfish
White seabass,finfish
White sturgeon,finfish
White surfperch,finfish
Yellowfin croaker,finfish
Yellowfin tuna,finfish
Yellowtail,finfish
Zebraperch,finfish
California king crab,invertebrate
California spiny lobster,invertebrate
Decorator crab,invertebrate
Dungeness crab,invertebrate
Hermit crab,invertebrate
Mantis shrimp,invertebrate
Marble crab,invertebrate
Northern kelp crab,invertebrate
Opossum crab,invertebrate
Parasol crab,invertebrate
Pelagic red crab,invertebrate
Pointer crab,invertebrate
Red rock crab,invertebrate
Rock crab,invertebrate
Sand crab,invertebrate
Southern kelp crab,invertebrate
Spider crab,invertebrate
Spot shrimp,invertebrate
Tuberculate pelagic octopus,invertebrate
Unidentified crab,invertebrate
Unidentified octopus,invertebrate
Unidentified shrimp,invertebrate
Yellow crab,invertebrate
Jumbo (humboldt) squid,invertebrate
Market squid,invertebrate
Moon snail,invertebrate
Pelagic tunicates,invertebrate
Red abalone,invertebrate
Sea Cucumber,invertebrate
Sea hare,invertebrate
Sea Star,invertebrate
Sea Urchin,invertebrate
Unidentified crustacean,invertebrate
Unidentified echinoderm,invertebrate
Unidentified invertebrate,invertebrate
Unidentified mollusk,invertebrate
