"block_id","strata"
101,"Northern California"
102,"Northern California"
103,"Northern California"
104,"Northern California"
105,"Northern California"
106,"Northern California"
107,"Northern California"
108,"Northern California"
109,"Northern California"
110,"Northern California"
111,"Northern California"
112,"Northern California"
113,"Northern California"
114,"Northern California"
115,"Northern California"
116,"Northern California"
117,"Northern California"
118,"Northern California"
119,"Northern California"
120,"Northern California"
121,"Northern California"
122,"Northern California"
123,"Northern California"
124,"Northern California"
125,"Northern California"
126,"Northern California"
127,"Northern California"
128,"Northern California"
129,"Northern California"
130,"Northern California"
131,"Northern California"
132,"Northern California"
133,"Northern California"
134,"Northern California"
135,"Northern California"
136,"Northern California"
137,"Northern California"
138,"Northern California"
139,"Northern California"
201,"Northern California"
202,"Northern California"
203,"Northern California"
204,"Northern California"
205,"Northern California"
206,"Northern California"
207,"Northern California"
208,"Northern California"
209,"Northern California"
210,"Northern California"
211,"Northern California"
212,"Northern California"
213,"Northern California"
214,"Northern California"
215,"Northern California"
216,"Northern California"
217,"Northern California"
218,"Northern California"
219,"Northern California"
220,"Northern California"
221,"Northern California"
222,"Northern California"
223,"Northern California"
224,"Northern California"
225,"Northern California"
226,"Northern California"
227,"Northern California"
228,"Northern California"
229,"Northern California"
230,"Northern California"
231,"Northern California"
232,"Northern California"
233,"Northern California"
234,"Northern California"
235,"Northern California"
236,"Northern California"
237,"Northern California"
238,"Northern California"
239,"Northern California"
240,"Northern California"
241,"Northern California"
242,"Northern California"
243,"Northern California"
244,"Northern California"
245,"Northern California"
246,"Northern California"
247,"Northern California"
248,"Northern California"
249,"Northern California"
250,"Northern California"
251,"Northern California"
252,"Northern California"
253,"Northern California"
254,"Northern California"
255,"Northern California"
256,"Northern California"
257,"Northern California"
258,"Northern California"
259,"Northern California"
260,"Northern California"
261,"Northern California"
262,"Northern California"
263,"Northern California"
264,"Northern California"
265,"Northern California"
266,"Northern California"
267,"Northern California"
268,"Northern California"
269,"Northern California"
270,"Northern California"
271,"Northern California"
272,"Northern California"
273,"Northern California"
274,"Northern California"
275,"Northern California"
276,"Northern California"
277,"Northern California"
278,"Northern California"
279,"Northern California"
280,"Northern California"
281,"Northern California"
301,"San Francisco"
401,"Northern California"
402,"Northern California"
403,"Northern California"
404,"Northern California"
405,"Northern California"
406,"Northern California"
407,"San Francisco"
408,"San Francisco"
409,"San Francisco"
410,"San Francisco"
411,"San Francisco"
412,"San Francisco"
413,"San Francisco"
414,"San Francisco"
415,"San Francisco"
416,"San Francisco"
417,"San Francisco"
418,"San Francisco"
419,"San Francisco"
420,"San Francisco"
421,"San Francisco"
422,"San Francisco"
423,"San Francisco"
424,"San Francisco"
425,"San Francisco"
426,"San Francisco"
427,"San Francisco"
428,"San Francisco"
430,"San Francisco"
431,"San Francisco"
432,"San Francisco"
433,"San Francisco"
434,"San Francisco"
435,"San Francisco"
436,"San Francisco"
437,"San Francisco"
438,"San Francisco"
439,"San Francisco"
440,"San Francisco"
441,"San Francisco"
442,"San Francisco"
443,"San Francisco"
444,"San Francisco"
445,"San Francisco"
446,"San Francisco"
447,"San Francisco"
448,"San Francisco"
449,"San Francisco"
450,"San Francisco"
451,"San Francisco"
452,"San Francisco"
453,"San Francisco"
455,"San Francisco"
456,"San Francisco"
457,"San Francisco"
458,"San Francisco"
459,"San Francisco"
460,"San Francisco"
461,"San Francisco"
462,"San Francisco"
464,"San Francisco"
465,"San Francisco"
466,"San Francisco"
467,"San Francisco"
468,"San Francisco"
469,"San Francisco"
470,"San Francisco"
471,"San Francisco"
472,"San Francisco"
473,"San Francisco"
474,"San Francisco"
475,"San Francisco"
476,"San Francisco"
477,"San Francisco"
478,"Monterey Bay"
479,"Monterey Bay"
480,"Monterey Bay"
481,"Monterey Bay"
482,"Monterey Bay"
483,"Monterey Bay"
484,"San Francisco"
485,"San Francisco"
486,"San Francisco"
487,"Monterey Bay"
488,"San Francisco"
489,"San Francisco"
501,"Monterey Bay"
502,"Monterey Bay"
503,"Monterey Bay"
504,"Monterey Bay"
505,"Monterey Bay"
506,"Monterey Bay"
507,"Monterey Bay"
508,"Monterey Bay"
509,"Monterey Bay"
510,"Monterey Bay"
511,"Monterey Bay"
512,"Monterey Bay"
513,"Monterey Bay"
514,"Monterey Bay"
515,"Monterey Bay"
516,"Monterey Bay"
517,"Monterey Bay"
518,"Monterey Bay"
519,"Monterey Bay"
520,"Monterey Bay"
521,"Monterey Bay"
522,"Monterey Bay"
523,"Monterey Bay"
524,"Monterey Bay"
525,"Monterey Bay"
526,"Monterey Bay"
527,"Monterey Bay"
528,"Monterey Bay"
529,"Monterey Bay"
530,"Monterey Bay"
531,"Monterey Bay"
532,"Monterey Bay"
533,"Monterey Bay"
534,"Monterey Bay"
535,"Monterey Bay"
536,"Monterey Bay"
537,"Monterey Bay"
538,"Monterey Bay"
539,"Monterey Bay"
540,"Monterey Bay"
541,"Monterey Bay"
542,"Monterey Bay"
543,"Monterey Bay"
544,"Monterey Bay"
545,"Monterey Bay"
546,"Monterey Bay"
547,"Monterey Bay"
548,"Monterey Bay"
549,"Monterey Bay"
550,"Monterey Bay"
551,"Monterey Bay"
552,"Monterey Bay"
553,"Monterey Bay"
554,"Monterey Bay"
555,"Monterey Bay"
556,"Monterey Bay"
557,"Monterey Bay"
558,"Monterey Bay"
559,"Monterey Bay"
560,"Monterey Bay"
561,"Monterey Bay"
562,"Monterey Bay"
563,"Monterey Bay"
564,"Monterey Bay"
565,"Monterey Bay"
566,"Monterey Bay"
567,"Monterey Bay"
568,"Monterey Bay"
601,"Morro Bay"
602,"Morro Bay"
603,"Morro Bay"
604,"Morro Bay"
605,"Morro Bay"
606,"Morro Bay"
607,"Morro Bay"
608,"Morro Bay"
609,"Morro Bay"
610,"Morro Bay"
611,"Morro Bay"
612,"Morro Bay"
613,"Morro Bay"
614,"Morro Bay"
615,"Morro Bay"
616,"Morro Bay"
617,"Morro Bay"
618,"Morro Bay"
619,"Morro Bay"
620,"Morro Bay"
621,"Morro Bay"
622,"Morro Bay"
623,"Morro Bay"
624,"Morro Bay"
625,"Morro Bay"
626,"Morro Bay"
627,"Morro Bay"
628,"Morro Bay"
629,"Morro Bay"
630,"Morro Bay"
631,"Morro Bay"
632,"Morro Bay"
633,"Morro Bay"
634,"Morro Bay"
635,"Morro Bay"
636,"Morro Bay"
637,"Morro Bay"
638,"Morro Bay"
639,"Morro Bay"
640,"Morro Bay"
641,"Morro Bay"
642,"Morro Bay"
643,"Morro Bay"
644,"Morro Bay"
645,"Morro Bay"
646,"Morro Bay"
647,"Morro Bay"
648,"Morro Bay"
649,"Morro Bay"
650,"Morro Bay"
651,"Ventura"
652,"Ventura"
653,"Ventura"
654,"Ventura"
655,"Ventura"
656,"Ventura"
657,"Ventura"
658,"Ventura"
659,"Ventura"
660,"Ventura"
661,"Ventura"
662,"Ventura"
663,"Ventura"
664,"Ventura"
665,"Ventura"
666,"Ventura"
667,"Ventura"
668,"Ventura"
669,"Ventura"
670,"Ventura"
671,"Ventura"
672,"Ventura"
673,"Ventura"
674,"Ventura"
675,"Ventura"
676,"Ventura"
677,"Ventura"
678,"Ventura"
679,"Ventura"
680,"Ventura"
681,"Ventura"
682,"Ventura"
683,"Ventura"
684,"Channel Islands"
685,"Channel Islands"
686,"Channel Islands"
687,"Channel Islands"
688,"Channel Islands"
689,"Channel Islands"
690,"Channel Islands"
691,"Ventura"
692,"Ventura"
693,"Ventura"
694,"Ventura"
695,"Ventura"
696,"Ventura"
697,"Ventura"
701,"Ventura"
702,"Ventura"
703,"Ventura"
704,"Ventura"
705,"Ventura"
706,"Ventura"
707,"Channel Islands"
708,"Channel Islands"
709,"Channel Islands"
710,"Channel Islands"
711,"Channel Islands"
712,"Channel Islands"
713,"Channel Islands"
714,"Ventura"
715,"Ventura"
716,"Ventura"
717,"Ventura"
718,"Southern California"
719,"Southern California"
720,"Southern California"
721,"Southern California"
722,"Southern California"
723,"Southern California"
724,"Southern California"
725,"Southern California"
726,"Southern California"
727,"Southern California"
728,"Southern California"
729,"Southern California"
730,"Southern California"
731,"Southern California"
732,"Southern California"
733,"Southern California"
734,"Southern California"
735,"Southern California"
736,"Southern California"
737,"Southern California"
738,"Southern California"
739,"Southern California"
740,"Southern California"
741,"Southern California"
742,"Southern California"
743,"Southern California"
744,"Southern California"
745,"Southern California"
746,"Southern California"
747,"Southern California"
748,"Southern California"
749,"Southern California"
750,"Southern California"
751,"Southern California"
752,"Southern California"
753,"Southern California"
754,"Southern California"
755,"Southern California"
756,"Southern California"
757,"Southern California"
758,"Southern California"
759,"Southern California"
760,"Channel Islands"
761,"Channel Islands"
762,"Channel Islands"
763,"Southern California"
764,"Southern California"
765,"Channel Islands"
766,"Southern California"
767,"Southern California"
768,"Southern California"
769,"Southern California"
770,"Southern California"
771,"Southern California"
772,"Southern California"
773,"Southern California"
774,"Southern California"
775,"Southern California"
776,"Ventura"
777,"Southern California"
801,"Southern California"
802,"Southern California"
803,"Southern California"
804,"Southern California"
805,"Southern California"
806,"Channel Islands"
807,"Channel Islands"
808,"Southern California"
809,"Southern California"
810,"Southern California"
811,"Southern California"
812,"Southern California"
813,"Channel Islands"
