filename,primary_id,primary_id_type,vessel_name,vessel_id,vessel_id_source,alt_id,alt_id_type,imo_number,hin,manufacturer_hin,call_sign,flag,service,length_ft,depth_ft,breadth_ft,build_year
248798.csv,248798,Official Number U.S.,ELMARUE,1633,COMMPERMIT-Name-Length,CG62868,Coast Guard Number,NA,NA,NA,WDD5728,United States,Commercial Fishing Vessel,44.8,5.5,13,1945
276600.csv,276600,Official Number U.S.,THRUSH,2329,COMMPERMIT-Name-Length,NA,NA,NA,NA,NA,WDC8988,United States,Commercial Fishing Vessel,35,NA,NA,1958
1044140.csv,1044140,Official Number U.S.,BOUNTY HUNTER,6620,COMMPERMIT-Name-Length,CG442734,Coast Guard Number,NA,NA,MTD45102A096,WDD3752,United States,Commercial Fishing Vessel,45,5,15,1996
295397.csv,295397,Official Number U.S.,GLORIA MARIE,14491,COMMPERMIT-Name-Length,CG84579,Coast Guard Number,NA,NA,NA,WU2569,United States,Commercial Fishing Vessel,46.3,NA,NA,1964
512678.csv,512678,Official Number U.S.,MARY BETH,17466,COMMPERMIT-Name-Length,CG95501,Coast Guard Number,NA,NA,NA,WY3269,United States,Commercial Fishing Vessel,40,NA,NA,1968
552120.csv,552120,Official Number U.S.,KONO,22774,COMMPERMIT-Name-Length,NA,NA,NA,NA,2,WDG5434,United States,Commercial Fishing Vessel,31,NA,NA,1973
553607.csv,553607,Official Number U.S.,TOM & GERRY,23295,COMMPERMIT-Name-Length,CG125635,Coast Guard Number,NA,NA,NA,WCB2621,United States,Commercial Fishing Vessel,38,4.8,13.3,1973
550580.csv,550580,Official Number U.S.,J-B,24674,COMMPERMIT-Name-Length,NA,NA,NA,NA,VEG41003M73A,WDG9931,United States,Commercial Fishing Vessel,39.4,NA,NA,1973
597524.csv,597524,Official Number U.S.,AURELIA,30958,COMMPERMIT-Name-Length,CG162910,Coast Guard Number,NA,NA,VEG41039M77B,WDI9325,United States,Commercial Fishing Vessel,38.6,NA,NA,1978
608155.csv,608155,Official Number U.S.,MELISSA MARIE,33030,COMMPERMIT-Name-Length,CG172417,Coast Guard Number,NA,NA,NA,WDD3630,United States,Commercial Fishing Vessel,34.2,NA,NA,1979
570760.csv,570760,Official Number U.S.,MAGGIE,33111,COMMPERMIT-Name-Length,CG139631,Coast Guard Number,NA,NA,NA,WDC7764,United States,Commercial Fishing Vessel,38.3,NA,NA,1975
611940.csv,611940,Official Number U.S.,SPIRIT,33784,COMMPERMIT-Name-Length,CG175896,Coast Guard Number,NA,NA,NA,WDH6640,United States,Commercial Fishing Vessel,38.1,NA,NA,1979
618104.csv,618104,Official Number U.S.,CALOGERA,34725,COMMPERMIT-Name-Length,CG181542,Coast Guard Number,NA,NA,NA,WDD4322,United States,Commercial Fishing Vessel,37.9,NA,NA,1980
622587.csv,622587,Official Number U.S.,AUTUMN STAR,34990,COMMPERMIT-Name-Length,CG185626,Coast Guard Number,NA,NA,NA,WDC9147,United States,Commercial Fishing Vessel,45,NA,NA,1980
