"variable","value","prob","species"
"Longitude (°W)",-122.305,0.236396936377266,"California sea lion"
"Longitude (°W)",-122.219266666667,0.23311728286987,"California sea lion"
"Longitude (°W)",-122.178333333333,0.240135391084796,"California sea lion"
"Longitude (°W)",-122.1278,0.239151222267978,"California sea lion"
"Longitude (°W)",-121.887066666667,0.258962663530827,"California sea lion"
"Longitude (°W)",-121.858333333333,0.26322257000572,"California sea lion"
"Longitude (°W)",-120.9548,0.263367135099424,"California sea lion"
"Longitude (°W)",-120.510466666667,0.258647728741372,"California sea lion"
"Longitude (°W)",-120.0658,0.295250284379027,"California sea lion"
"Longitude (°W)",-120.01,0.247805533570297,"California sea lion"
"Longitude (°W)",-119.97,0.225807947328844,"California sea lion"
"Longitude (°W)",-119.928333333333,0.225041139533854,"California sea lion"
"Longitude (°W)",-119.885,0.217678805013363,"California sea lion"
"Longitude (°W)",-119.798333333333,0.211185705622748,"California sea lion"
"Longitude (°W)",-119.7214,0.212861615660303,"California sea lion"
"Longitude (°W)",-119.676666666667,0.212040373271152,"California sea lion"
"Longitude (°W)",-119.651666666667,0.213539163114766,"California sea lion"
"Longitude (°W)",-119.633333333333,0.211500005323618,"California sea lion"
"Longitude (°W)",-119.613333333333,0.212229375322271,"California sea lion"
"Longitude (°W)",-119.591666666667,0.207279417232317,"California sea lion"
"Longitude (°W)",-119.568333333333,0.207626623412394,"California sea lion"
"Longitude (°W)",-119.543333333333,0.211392132598276,"California sea lion"
"Longitude (°W)",-119.513866666667,0.205108406441124,"California sea lion"
"Longitude (°W)",-119.4533,0.199779877318807,"California sea lion"
"Longitude (°W)",-119.4333,0.201154285581788,"California sea lion"
"Longitude (°W)",-119.416666666667,0.199321499546777,"California sea lion"
"Longitude (°W)",-119.41,0.198112547497806,"California sea lion"
"Longitude (°W)",-119.398333333333,0.199162654040736,"California sea lion"
"Longitude (°W)",-119.388333333333,0.199242014445694,"California sea lion"
"Longitude (°W)",-119.3817,0.199963024407712,"California sea lion"
"Longitude (°W)",-119.375,0.200013716213447,"California sea lion"
"Longitude (°W)",-119.366666666667,0.200973031532051,"California sea lion"
"Longitude (°W)",-119.36,0.199469360177113,"California sea lion"
"Longitude (°W)",-119.3517,0.198923702727787,"California sea lion"
