".threshold",".metric",".estimator",".estimate","species","type"
0.1,"kap","binary",0.0792446873917103,"California sea lion","training data"
0.11,"kap","binary",0.0867587823825923,"California sea lion","training data"
0.12,"kap","binary",0.0919866370907895,"California sea lion","training data"
0.13,"kap","binary",0.0971510489890864,"California sea lion","training data"
0.14,"kap","binary",0.100935836064511,"California sea lion","training data"
0.15,"kap","binary",0.105882885948639,"California sea lion","training data"
0.16,"kap","binary",0.113053149277844,"California sea lion","training data"
0.17,"kap","binary",0.116657163969076,"California sea lion","training data"
0.18,"kap","binary",0.12104013926692,"California sea lion","training data"
0.19,"kap","binary",0.126405784206477,"California sea lion","training data"
0.2,"kap","binary",0.13217668866467,"California sea lion","training data"
0.21,"kap","binary",0.136858332910743,"California sea lion","training data"
0.22,"kap","binary",0.141115328010545,"California sea lion","training data"
0.23,"kap","binary",0.144039888498569,"California sea lion","training data"
0.24,"kap","binary",0.145807684596337,"California sea lion","training data"
0.25,"kap","binary",0.149692523021878,"California sea lion","training data"
0.26,"kap","binary",0.154791670211057,"California sea lion","training data"
0.27,"kap","binary",0.160999773665552,"California sea lion","training data"
0.28,"kap","binary",0.164753877066884,"California sea lion","training data"
0.29,"kap","binary",0.173404478470512,"California sea lion","training data"
0.3,"kap","binary",0.177635395618275,"California sea lion","training data"
0.31,"kap","binary",0.183024943915419,"California sea lion","training data"
0.32,"kap","binary",0.188085868605947,"California sea lion","training data"
0.33,"kap","binary",0.191945828496516,"California sea lion","training data"
0.34,"kap","binary",0.193780985384488,"California sea lion","training data"
0.35,"kap","binary",0.199036163407622,"California sea lion","training data"
0.36,"kap","binary",0.200243080174645,"California sea lion","training data"
0.37,"kap","binary",0.20518205879883,"California sea lion","training data"
0.38,"kap","binary",0.207572894974219,"California sea lion","training data"
0.39,"kap","binary",0.208436170106994,"California sea lion","training data"
0.4,"kap","binary",0.209611993293944,"California sea lion","training data"
0.41,"kap","binary",0.208679160105928,"California sea lion","training data"
0.42,"kap","binary",0.209409639964906,"California sea lion","training data"
0.43,"kap","binary",0.210745977603929,"California sea lion","training data"
0.44,"kap","binary",0.215442108585794,"California sea lion","training data"
0.45,"kap","binary",0.213352570955036,"California sea lion","training data"
0.46,"kap","binary",0.211831240608945,"California sea lion","training data"
0.47,"kap","binary",0.216877795146941,"California sea lion","training data"
0.48,"kap","binary",0.220295398872282,"California sea lion","training data"
0.49,"kap","binary",0.222821493986772,"California sea lion","training data"
0.5,"kap","binary",0.224607284591379,"California sea lion","training data"
0.51,"kap","binary",0.225406066099689,"California sea lion","training data"
0.52,"kap","binary",0.220673185192982,"California sea lion","training data"
0.53,"kap","binary",0.221282354879261,"California sea lion","training data"
0.54,"kap","binary",0.222644970533049,"California sea lion","training data"
0.55,"kap","binary",0.218961699476634,"California sea lion","training data"
0.56,"kap","binary",0.216322738572023,"California sea lion","training data"
0.57,"kap","binary",0.215436834614851,"California sea lion","training data"
0.58,"kap","binary",0.21114215623444,"California sea lion","training data"
0.59,"kap","binary",0.215659470691389,"California sea lion","training data"
0.6,"kap","binary",0.212125848681823,"California sea lion","training data"
0.61,"kap","binary",0.208596150128549,"California sea lion","training data"
0.62,"kap","binary",0.206435325418982,"California sea lion","training data"
0.63,"kap","binary",0.207410568585305,"California sea lion","training data"
0.64,"kap","binary",0.207148602931445,"California sea lion","training data"
0.65,"kap","binary",0.203710610454465,"California sea lion","training data"
0.66,"kap","binary",0.203222318867801,"California sea lion","training data"
0.67,"kap","binary",0.202715071514941,"California sea lion","training data"
0.68,"kap","binary",0.202530482116033,"California sea lion","training data"
0.69,"kap","binary",0.200907994107626,"California sea lion","training data"
0.7,"kap","binary",0.201639115941723,"California sea lion","training data"
0.71,"kap","binary",0.201805259631413,"California sea lion","training data"
0.72,"kap","binary",0.196596567280442,"California sea lion","training data"
0.73,"kap","binary",0.194881847308163,"California sea lion","training data"
0.74,"kap","binary",0.1932601527602,"California sea lion","training data"
0.75,"kap","binary",0.193812172290963,"California sea lion","training data"
0.76,"kap","binary",0.190649636521473,"California sea lion","training data"
0.77,"kap","binary",0.184956957547933,"California sea lion","training data"
0.78,"kap","binary",0.182355325623556,"California sea lion","training data"
0.79,"kap","binary",0.176147986795108,"California sea lion","training data"
0.8,"kap","binary",0.171064173307128,"California sea lion","training data"
0.81,"kap","binary",0.170467096190406,"California sea lion","training data"
0.82,"kap","binary",0.171792830995512,"California sea lion","training data"
0.83,"kap","binary",0.167557965718277,"California sea lion","training data"
0.84,"kap","binary",0.160890593553418,"California sea lion","training data"
0.85,"kap","binary",0.155483057677299,"California sea lion","training data"
0.86,"kap","binary",0.150033026493582,"California sea lion","training data"
0.87,"kap","binary",0.146904544062465,"California sea lion","training data"
0.88,"kap","binary",0.146089406808381,"California sea lion","training data"
