"species","variable","importance"
"California sea lion","long_dd",518.989291615696
"California sea lion","sst_c",510.530833010705
"California sea lion","lat_dd",505.593549181523
"California sea lion","yday",496.760637943173
"California sea lion","shore_km",439.004947324823
"California sea lion","depth_fa",340.307836413401
"California sea lion","soak_hr",266.946729985125
"California sea lion","mesh_size_in",259.104215828116
"California sea lion","island_yn_X1",24.3669410318799
"Harbor seal","yday",671.364844136742
"Harbor seal","long_dd",520.745032298842
"Harbor seal","lat_dd",508.164915785234
"Harbor seal","sst_c",466.993070607714
"Harbor seal","shore_km",350.862077317067
"Harbor seal","depth_fa",272.086381453884
"Harbor seal","mesh_size_in",238.209390602526
"Harbor seal","soak_hr",221.391109827328
"Harbor seal","island_yn_X1",11.0602108460573
"Soupfin shark","depth_fa",993.42552384174
"Soupfin shark","long_dd",732.532897391493
"Soupfin shark","lat_dd",702.690419919196
"Soupfin shark","shore_km",558.59494756527
"Soupfin shark","sst_c",550.030694838981
"Soupfin shark","yday",529.418355182732
"Soupfin shark","soak_hr",396.34965369732
"Soupfin shark","mesh_size_in",281.596747899703
"Soupfin shark","island_yn_X1",11.2709121624126
"Common murre","shore_km",72.3141082191436
"Common murre","yday",69.1979615878237
"Common murre","lat_dd",61.5496073557553
"Common murre","soak_hr",58.7976631910151
"Common murre","long_dd",58.0727165491987
"Common murre","sst_c",54.5930283702257
"Common murre","depth_fa",41.9368292929055
"Common murre","mesh_size_in",36.844941114748
"Common murre","island_yn_X1",6.33478961317978
