".threshold","specificity","sensitivity","species"
-Inf,0,1,"California sea lion"
0,0,1,"California sea lion"
0.002,0.0841777084957132,0.994475138121547,"California sea lion"
0.004,0.13912704598597,0.994475138121547,"California sea lion"
0.006,0.17887763055339,0.983425414364641,"California sea lion"
0.008,0.20381917381138,0.977900552486188,"California sea lion"
0.01,0.229150428682775,0.972375690607735,"California sea lion"
0.012,0.251363990646921,0.972375690607735,"California sea lion"
0.014,0.273967264224474,0.961325966850829,"California sea lion"
0.016,0.295791114575214,0.955801104972376,"California sea lion"
0.018,0.31215900233827,0.950276243093923,"California sea lion"
0.02,0.330865159781762,0.94475138121547,"California sea lion"
0.022,0.347233047544817,0.922651933701657,"California sea lion"
0.024,0.36087295401403,0.917127071823204,"California sea lion"
0.026,0.374512860483242,0.917127071823204,"California sea lion"
0.028,0.388932190179267,0.917127071823204,"California sea lion"
0.03,0.402182385035074,0.906077348066298,"California sea lion"
0.032,0.417381137957911,0.900552486187845,"California sea lion"
0.034,0.430241621200312,0.900552486187845,"California sea lion"
0.036,0.443102104442712,0.883977900552486,"California sea lion"
0.038,0.454014029618083,0.867403314917127,"California sea lion"
0.04,0.464146531566641,0.856353591160221,"California sea lion"
0.042,0.473499610288387,0.850828729281768,"California sea lion"
0.044,0.483632112236945,0.834254143646409,"California sea lion"
0.046,0.494933749025721,0.81767955801105,"California sea lion"
0.048,0.500389711613406,0.812154696132597,"California sea lion"
0.05,0.510522213561964,0.806629834254144,"California sea lion"
0.052,0.515978176149649,0.790055248618785,"California sea lion"
0.054,0.522213561964146,0.773480662983425,"California sea lion"
0.056,0.528059236165238,0.767955801104972,"California sea lion"
0.058,0.535074045206547,0.767955801104972,"California sea lion"
0.06,0.540140296180826,0.767955801104972,"California sea lion"
0.062,0.546375681995323,0.756906077348066,"California sea lion"
0.064,0.551831644583009,0.751381215469613,"California sea lion"
0.066,0.5576773187841,0.751381215469613,"California sea lion"
0.068,0.563133281371785,0.74585635359116,"California sea lion"
0.07,0.5705378020265,0.740331491712707,"California sea lion"
0.072,0.573655494933749,0.740331491712707,"California sea lion"
0.074,0.582618862042089,0.734806629834254,"California sea lion"
0.076,0.590023382696804,0.734806629834254,"California sea lion"
0.078,0.595089633671083,0.723756906077348,"California sea lion"
0.08,0.600155884645362,0.723756906077348,"California sea lion"
0.082,0.604442712392829,0.718232044198895,"California sea lion"
0.084,0.609898674980514,0.712707182320442,"California sea lion"
0.086,0.616134060795012,0.712707182320442,"California sea lion"
0.088,0.620420888542479,0.701657458563536,"California sea lion"
0.09,0.625487139516758,0.701657458563536,"California sea lion"
0.092,0.630163678877631,0.674033149171271,"California sea lion"
0.094,0.63522992985191,0.674033149171271,"California sea lion"
0.096,0.643024162120031,0.674033149171271,"California sea lion"
0.098,0.651597817614965,0.668508287292818,"California sea lion"
0.1,0.655884645362432,0.662983425414365,"California sea lion"
0.102,0.65900233826968,0.662983425414365,"California sea lion"
0.104,0.662509742790335,0.662983425414365,"California sea lion"
0.106,0.665627435697584,0.646408839779006,"California sea lion"
0.108,0.669914263445051,0.646408839779006,"California sea lion"
0.11,0.673421667965705,0.629834254143646,"California sea lion"
0.112,0.67692907248636,0.629834254143646,"California sea lion"
0.114,0.679267342166797,0.629834254143646,"California sea lion"
0.116,0.681605611847233,0.629834254143646,"California sea lion"
0.118,0.685502727981294,0.624309392265193,"California sea lion"
0.12,0.688230709275136,0.61878453038674,"California sea lion"
0.122,0.692127825409197,0.61878453038674,"California sea lion"
0.124,0.697194076383476,0.613259668508287,"California sea lion"
0.126,0.702650038971161,0.613259668508287,"California sea lion"
0.128,0.707326578332034,0.613259668508287,"California sea lion"
0.13,0.710054559625877,0.613259668508287,"California sea lion"
0.132,0.712392829306313,0.613259668508287,"California sea lion"
0.134,0.713561964146532,0.613259668508287,"California sea lion"
0.136,0.717069368667186,0.613259668508287,"California sea lion"
0.138,0.720576773187841,0.613259668508287,"California sea lion"
0.14,0.722135619641465,0.602209944751381,"California sea lion"
0.142,0.727201870615744,0.602209944751381,"California sea lion"
0.144,0.730709275136399,0.596685082872928,"California sea lion"
0.146,0.733437256430242,0.591160220994475,"California sea lion"
0.148,0.734996102883866,0.591160220994475,"California sea lion"
0.15,0.736165237724084,0.591160220994475,"California sea lion"
0.152,0.740062353858145,0.580110497237569,"California sea lion"
0.154,0.742010911925175,0.580110497237569,"California sea lion"
0.156,0.7435697583788,0.569060773480663,"California sea lion"
0.158,0.747077162899454,0.56353591160221,"California sea lion"
0.16,0.749415432579891,0.56353591160221,"California sea lion"
0.162,0.752143413873733,0.552486187845304,"California sea lion"
0.164,0.754091971940764,0.552486187845304,"California sea lion"
0.166,0.7564302416212,0.552486187845304,"California sea lion"
0.168,0.758378799688231,0.552486187845304,"California sea lion"
0.17,0.758768511301637,0.546961325966851,"California sea lion"
0.172,0.760327357755261,0.541436464088398,"California sea lion"
0.174,0.763055339049104,0.541436464088398,"California sea lion"
0.176,0.766562743569758,0.535911602209945,"California sea lion"
0.178,0.769680436477007,0.535911602209945,"California sea lion"
0.18,0.77240841777085,0.535911602209945,"California sea lion"
0.182,0.774746687451286,0.535911602209945,"California sea lion"
0.184,0.777864380358535,0.535911602209945,"California sea lion"
0.188,0.779423226812159,0.535911602209945,"California sea lion"
0.19,0.782151208106002,0.535911602209945,"California sea lion"
0.192,0.784879189399844,0.535911602209945,"California sea lion"
0.194,0.787217459080281,0.535911602209945,"California sea lion"
0.196,0.787996882307093,0.535911602209945,"California sea lion"
