".threshold","specificity","sensitivity","species"
-Inf,0,1,"California sea lion"
0,0,1,"California sea lion"
0.002,0.0406131016303817,0.994601889338731,"California sea lion"
0.004,0.0742946402421166,0.989203778677463,"California sea lion"
0.006,0.103778189983403,0.986504723346829,"California sea lion"
0.008,0.128770867909792,0.983805668016194,"California sea lion"
0.01,0.149370301669433,0.979757085020243,"California sea lion"
0.012,0.170262618373523,0.979757085020243,"California sea lion"
0.014,0.192521722151713,0.973009446693657,"California sea lion"
0.016,0.209508932929806,0.968960863697706,"California sea lion"
0.018,0.227179537244948,0.966261808367072,"California sea lion"
0.02,0.242897588597091,0.96221322537112,"California sea lion"
0.022,0.256858342282534,0.958164642375169,"California sea lion"
0.024,0.271209606560578,0.956815114709852,"California sea lion"
0.026,0.285658498486771,0.951417004048583,"California sea lion"
0.028,0.298447720394416,0.948717948717949,"California sea lion"
0.03,0.312896612320609,0.944669365721997,"California sea lion"
0.032,0.323538025968954,0.94331983805668,"California sea lion"
0.034,0.335839109635849,0.940620782726046,"California sea lion"
0.036,0.346675778580494,0.937921727395412,"California sea lion"
0.038,0.358391096358489,0.929824561403509,"California sea lion"
0.04,0.368251488821634,0.92442645074224,"California sea lion"
0.042,0.37752611539588,0.916329284750337,"California sea lion"
0.044,0.388655667284975,0.912280701754386,"California sea lion"
0.046,0.398223176803671,0.910931174089069,"California sea lion"
0.048,0.408962218100166,0.9055330634278,"California sea lion"
0.05,0.419506004100361,0.900134952766532,"California sea lion"
0.052,0.427999609489407,0.894736842105263,"California sea lion"
0.054,0.437762374304403,0.892037786774629,"California sea lion"
0.056,0.4447915649712,0.88663967611336,"California sea lion"
0.058,0.452894659767646,0.879892037786775,"California sea lion"
0.06,0.459533339841843,0.875843454790823,"California sea lion"
0.062,0.46705066874939,0.875843454790823,"California sea lion"
0.064,0.474665625305086,0.873144399460189,"California sea lion"
0.066,0.481499560675583,0.871794871794872,"California sea lion"
0.068,0.48823586839793,0.865047233468286,"California sea lion"
0.07,0.494191154935078,0.862348178137652,"California sea lion"
0.072,0.501903739138924,0.859649122807018,"California sea lion"
0.074,0.509030557453871,0.855600539811066,"California sea lion"
0.076,0.515473982231768,0.844804318488529,"California sea lion"
0.078,0.521429268768915,0.842105263157895,"California sea lion"
0.08,0.528556087083862,0.842105263157895,"California sea lion"
0.082,0.535682905398809,0.840755735492578,"California sea lion"
0.084,0.542126330176706,0.838056680161943,"California sea lion"
0.086,0.547691106121253,0.835357624831309,"California sea lion"
0.088,0.553353509713951,0.828609986504723,"California sea lion"
0.09,0.558723030362199,0.827260458839406,"California sea lion"
0.092,0.563897295714146,0.821862348178138,"California sea lion"
0.094,0.569754954603144,0.817813765182186,"California sea lion"
0.096,0.574245826418042,0.812415654520918,"California sea lion"
0.098,0.579712974714439,0.807017543859649,"California sea lion"
0.1,0.584399101825637,0.802968960863698,"California sea lion"
0.102,0.589378111881285,0.797570850202429,"California sea lion"
0.104,0.593478473103583,0.790823211875843,"California sea lion"
0.106,0.59933613199258,0.790823211875843,"California sea lion"
0.108,0.603631748511178,0.788124156545209,"California sea lion"
0.11,0.609001269159426,0.785425101214575,"California sea lion"
0.112,0.612808747437274,0.778677462887989,"California sea lion"
0.114,0.616713853363272,0.773279352226721,"California sea lion"
0.116,0.62188811871522,0.767881241565452,"California sea lion"
0.118,0.626086107585668,0.767881241565452,"California sea lion"
0.12,0.631065117641316,0.766531713900135,"California sea lion"
0.122,0.635263106511764,0.761133603238866,"California sea lion"
0.124,0.639265840085912,0.758434547908232,"California sea lion"
0.126,0.64424485014156,0.755735492577598,"California sea lion"
0.128,0.647857073123108,0.755735492577598,"California sea lion"
0.13,0.651957434345407,0.754385964912281,"California sea lion"
0.132,0.656155423215855,0.751686909581646,"California sea lion"
0.134,0.659474763252953,0.746288798920378,"California sea lion"
0.136,0.663184613882652,0.740890688259109,"California sea lion"
0.138,0.6667968368642,0.738191632928475,"California sea lion"
0.14,0.670506687493898,0.732793522267207,"California sea lion"
0.142,0.673826027530997,0.727395411605938,"California sea lion"
0.144,0.677438250512545,0.719298245614035,"California sea lion"
0.146,0.680952845845944,0.716599190283401,"California sea lion"
0.148,0.684662696475642,0.713900134952766,"California sea lion"
0.15,0.68866543004979,0.708502024291498,"California sea lion"
0.152,0.692277653031338,0.703103913630229,"California sea lion"
0.154,0.694913599531387,0.700404858299595,"California sea lion"
0.156,0.698818705457386,0.696356275303644,"California sea lion"
0.158,0.701845162550034,0.692307692307692,"California sea lion"
0.16,0.705262130235283,0.688259109311741,"California sea lion"
0.162,0.708776725568681,0.684210526315789,"California sea lion"
0.164,0.712486576198379,0.681511470985155,"California sea lion"
0.166,0.715415405642878,0.680161943319838,"California sea lion"
0.168,0.718734745679977,0.678812415654521,"California sea lion"
0.17,0.721077809235576,0.67476383265857,"California sea lion"
0.172,0.723030362198575,0.673414304993252,"California sea lion"
0.174,0.725568681050473,0.670715249662618,"California sea lion"
0.176,0.727618861661623,0.665317139001349,"California sea lion"
0.178,0.730645318754271,0.661268556005398,"California sea lion"
0.18,0.73259787171727,0.65587044534413,"California sea lion"
0.182,0.735233818217319,0.651821862348178,"California sea lion"
0.184,0.738162647661818,0.649122807017544,"California sea lion"
0.186,0.740310455921117,0.64642375168691,"California sea lion"
0.188,0.742555891828566,0.642375168690958,"California sea lion"
0.19,0.744898955384165,0.639676113360324,"California sea lion"
0.192,0.747046763643464,0.63697705802969,"California sea lion"
0.194,0.749585082495363,0.63697705802969,"California sea lion"
