".threshold",".metric",".estimator",".estimate","species"
0.1,"kap","binary",0.108406844714348,"California sea lion"
0.11,"kap","binary",0.115755690044187,"California sea lion"
0.12,"kap","binary",0.122808756256206,"California sea lion"
0.13,"kap","binary",0.130338994339445,"California sea lion"
0.14,"kap","binary",0.134944249225996,"California sea lion"
0.15,"kap","binary",0.139450357678987,"California sea lion"
0.16,"kap","binary",0.143351524254997,"California sea lion"
0.17,"kap","binary",0.150082980000828,"California sea lion"
0.18,"kap","binary",0.152050736333723,"California sea lion"
0.19,"kap","binary",0.155794362579366,"California sea lion"
0.2,"kap","binary",0.161632035272038,"California sea lion"
0.21,"kap","binary",0.168328298632704,"California sea lion"
0.22,"kap","binary",0.172254969137443,"California sea lion"
0.23,"kap","binary",0.17759002515563,"California sea lion"
0.24,"kap","binary",0.18581320231573,"California sea lion"
0.25,"kap","binary",0.188133558129776,"California sea lion"
0.26,"kap","binary",0.191826758249104,"California sea lion"
0.27,"kap","binary",0.197301371447341,"California sea lion"
0.28,"kap","binary",0.198869853120839,"California sea lion"
0.29,"kap","binary",0.206072030438462,"California sea lion"
0.3,"kap","binary",0.213282700740601,"California sea lion"
0.31,"kap","binary",0.214536769501472,"California sea lion"
0.32,"kap","binary",0.216854257820393,"California sea lion"
0.33,"kap","binary",0.2172340137275,"California sea lion"
0.34,"kap","binary",0.223581170560763,"California sea lion"
0.35,"kap","binary",0.226646128568134,"California sea lion"
0.36,"kap","binary",0.22409726323192,"California sea lion"
0.37,"kap","binary",0.22937959129244,"California sea lion"
0.38,"kap","binary",0.227980763000866,"California sea lion"
0.39,"kap","binary",0.224513994885385,"California sea lion"
0.4,"kap","binary",0.226982150629766,"California sea lion"
0.41,"kap","binary",0.227296071476193,"California sea lion"
0.42,"kap","binary",0.231908406974613,"California sea lion"
0.43,"kap","binary",0.236344133983053,"California sea lion"
0.44,"kap","binary",0.235055013110792,"California sea lion"
0.45,"kap","binary",0.235544650315986,"California sea lion"
0.46,"kap","binary",0.231469534409314,"California sea lion"
0.47,"kap","binary",0.232153909232867,"California sea lion"
0.48,"kap","binary",0.230475180008647,"California sea lion"
0.49,"kap","binary",0.222035256556526,"California sea lion"
0.5,"kap","binary",0.223021000110546,"California sea lion"
0.51,"kap","binary",0.225671374948381,"California sea lion"
0.52,"kap","binary",0.224651332157153,"California sea lion"
0.53,"kap","binary",0.223590348754787,"California sea lion"
0.54,"kap","binary",0.225907348166384,"California sea lion"
0.55,"kap","binary",0.227369519717695,"California sea lion"
0.56,"kap","binary",0.220386669614445,"California sea lion"
0.57,"kap","binary",0.223871671283257,"California sea lion"
0.58,"kap","binary",0.222756976557537,"California sea lion"
0.59,"kap","binary",0.226677887849696,"California sea lion"
0.6,"kap","binary",0.225537555680435,"California sea lion"
0.61,"kap","binary",0.226863444362735,"California sea lion"
0.62,"kap","binary",0.223690054773846,"California sea lion"
0.63,"kap","binary",0.224756354676869,"California sea lion"
0.64,"kap","binary",0.208907787695975,"California sea lion"
0.65,"kap","binary",0.206918553163022,"California sea lion"
0.66,"kap","binary",0.203803607868202,"California sea lion"
0.67,"kap","binary",0.20471061523637,"California sea lion"
0.68,"kap","binary",0.204643172914711,"California sea lion"
0.69,"kap","binary",0.201344357744895,"California sea lion"
0.7,"kap","binary",0.197037129230115,"California sea lion"
0.71,"kap","binary",0.190625982787663,"California sea lion"
0.72,"kap","binary",0.186313808713943,"California sea lion"
0.73,"kap","binary",0.182403739860974,"California sea lion"
0.74,"kap","binary",0.176637892955806,"California sea lion"
0.75,"kap","binary",0.176080437560958,"California sea lion"
0.76,"kap","binary",0.17669735491415,"California sea lion"
0.77,"kap","binary",0.169719764011799,"California sea lion"
0.78,"kap","binary",0.166545694516311,"California sea lion"
0.79,"kap","binary",0.162732064317349,"California sea lion"
0.8,"kap","binary",0.15401216734521,"California sea lion"
0.81,"kap","binary",0.146404817078227,"California sea lion"
0.82,"kap","binary",0.136635706444722,"California sea lion"
0.83,"kap","binary",0.132656064698924,"California sea lion"
0.84,"kap","binary",0.131789475098557,"California sea lion"
0.85,"kap","binary",0.12741536363307,"California sea lion"
0.86,"kap","binary",0.123813779807083,"California sea lion"
0.87,"kap","binary",0.122878846268244,"California sea lion"
0.88,"kap","binary",0.117175126090326,"California sea lion"
0.89,"kap","binary",0.110953569097978,"California sea lion"
0.9,"kap","binary",0.0972548780929352,"California sea lion"
0.1,"sens","binary",0.802968960863698,"California sea lion"
0.11,"sens","binary",0.785425101214575,"California sea lion"
0.12,"sens","binary",0.761133603238866,"California sea lion"
0.13,"sens","binary",0.754385964912281,"California sea lion"
0.14,"sens","binary",0.732793522267207,"California sea lion"
0.15,"sens","binary",0.703103913630229,"California sea lion"
0.16,"sens","binary",0.688259109311741,"California sea lion"
0.17,"sens","binary",0.67476383265857,"California sea lion"
0.18,"sens","binary",0.65587044534413,"California sea lion"
0.19,"sens","binary",0.639676113360324,"California sea lion"
0.2,"sens","binary",0.62753036437247,"California sea lion"
0.21,"sens","binary",0.612685560053981,"California sea lion"
0.22,"sens","binary",0.601889338731444,"California sea lion"
0.23,"sens","binary",0.587044534412955,"California sea lion"
0.24,"sens","binary",0.58029689608637,"California sea lion"
0.25,"sens","binary",0.569500674763833,"California sea lion"
0.26,"sens","binary",0.553306342780027,"California sea lion"
0.27,"sens","binary",0.543859649122807,"California sea lion"
0.28,"sens","binary",0.529014844804318,"California sea lion"
0.29,"sens","binary",0.519568151147099,"California sea lion"
0.3,"sens","binary",0.515519568151147,"California sea lion"
0.31,"sens","binary",0.506072874493927,"California sea lion"
0.32,"sens","binary",0.491228070175439,"California sea lion"
0.33,"sens","binary",0.475033738191633,"California sea lion"
0.34,"sens","binary",0.46693657219973,"California sea lion"
0.35,"sens","binary",0.45748987854251,"California sea lion"
0.36,"sens","binary",0.439946018893387,"California sea lion"
0.37,"sens","binary",0.431848852901485,"California sea lion"
0.38,"sens","binary",0.415654520917679,"California sea lion"
0.39,"sens","binary",0.396761133603239,"California sea lion"
0.4,"sens","binary",0.388663967611336,"California sea lion"
0.41,"sens","binary",0.376518218623482,"California sea lion"
0.42,"sens","binary",0.371120107962213,"California sea lion"
0.43,"sens","binary",0.365721997300945,"California sea lion"
0.44,"sens","binary",0.356275303643725,"California sea lion"
0.45,"sens","binary",0.350877192982456,"California sea lion"
0.46,"sens","binary",0.340080971659919,"California sea lion"
0.47,"sens","binary",0.331983805668016,"California sea lion"
0.48,"sens","binary",0.321187584345479,"California sea lion"
0.49,"sens","binary",0.303643724696356,"California sea lion"
0.5,"sens","binary",0.296896086369771,"California sea lion"
0.51,"sens","binary",0.291497975708502,"California sea lion"
0.52,"sens","binary",0.283400809716599,"California sea lion"
0.53,"sens","binary",0.275303643724696,"California sea lion"
0.54,"sens","binary",0.267206477732794,"California sea lion"
0.55,"sens","binary",0.263157894736842,"California sea lion"
0.56,"sens","binary",0.251012145748988,"California sea lion"
0.57,"sens","binary",0.246963562753036,"California sea lion"
0.58,"sens","binary",0.242914979757085,"California sea lion"
0.59,"sens","binary",0.238866396761134,"California sea lion"
0.6,"sens","binary",0.233468286099865,"California sea lion"
