"threshold","estimate_kappa","Species","Dataset"
0.1,0.0888436791672403,"California sea lion","Train data"
0.11,0.0961157742604227,"California sea lion","Train data"
0.12,0.105575614862776,"California sea lion","Train data"
0.13,0.111394582140169,"California sea lion","Train data"
0.14,0.119397627978941,"California sea lion","Train data"
0.15,0.128192514461165,"California sea lion","Train data"
0.16,0.133390108937884,"California sea lion","Train data"
0.17,0.137534601356778,"California sea lion","Train data"
0.18,0.142960762585256,"California sea lion","Train data"
0.19,0.149742897862513,"California sea lion","Train data"
0.2,0.155470027549186,"California sea lion","Train data"
0.21,0.163953630040629,"California sea lion","Train data"
0.22,0.165733816762438,"California sea lion","Train data"
0.23,0.172849188965884,"California sea lion","Train data"
0.24,0.176656722847903,"California sea lion","Train data"
0.25,0.179850845269044,"California sea lion","Train data"
0.26,0.187453681503117,"California sea lion","Train data"
0.27,0.191547102121334,"California sea lion","Train data"
0.28,0.196103758549533,"California sea lion","Train data"
0.29,0.199673817149442,"California sea lion","Train data"
0.3,0.203694027709522,"California sea lion","Train data"
0.31,0.208591059974401,"California sea lion","Train data"
0.32,0.214220163537568,"California sea lion","Train data"
0.33,0.213691833489548,"California sea lion","Train data"
0.34,0.216777252322389,"California sea lion","Train data"
0.35,0.219081362498627,"California sea lion","Train data"
0.36,0.22019477525991,"California sea lion","Train data"
0.37,0.221229185120595,"California sea lion","Train data"
0.38,0.224760894271097,"California sea lion","Train data"
0.39,0.224939279884008,"California sea lion","Train data"
0.4,0.222270706581221,"California sea lion","Train data"
0.41,0.222084427225497,"California sea lion","Train data"
0.42,0.221736873643852,"California sea lion","Train data"
0.43,0.226565984730716,"California sea lion","Train data"
0.44,0.229108894959529,"California sea lion","Train data"
0.45,0.229898388625005,"California sea lion","Train data"
0.46,0.231247195933052,"California sea lion","Train data"
0.47,0.234559577222811,"California sea lion","Train data"
0.48,0.236555157211305,"California sea lion","Train data"
0.49,0.237232134092434,"California sea lion","Train data"
0.5,0.233410201681237,"California sea lion","Train data"
0.51,0.235353202542457,"California sea lion","Train data"
0.52,0.232463703802629,"California sea lion","Train data"
0.53,0.234262692188953,"California sea lion","Train data"
0.54,0.232031328314624,"California sea lion","Train data"
0.55,0.233257946844633,"California sea lion","Train data"
0.56,0.233851765176766,"California sea lion","Train data"
0.57,0.232108673461754,"California sea lion","Train data"
0.58,0.233826881199567,"California sea lion","Train data"
0.59,0.229578673338366,"California sea lion","Train data"
0.6,0.230128982275007,"California sea lion","Train data"
0.61,0.224677390843203,"California sea lion","Train data"
0.62,0.219764743173209,"California sea lion","Train data"
0.63,0.214922559579153,"California sea lion","Train data"
0.64,0.215746861537295,"California sea lion","Train data"
